exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,first_half_positive,second_half_negative,second_half_perplexity,first_half_positive_norm,second_half_negative_norm,inverse_ppl_norm,score_avg,score_mul
pattern_l25-31-16_a2.0_fh0.5_sh2.5,3,"25,31,16",positive,True,2.0,0.5,2.5,0.34596714515239,0.2211364009976387,524.6228933525085,0.7868260497960464,0.31308502934157717,0.9875862188589049,0.6958324326655095,0.24328540312777502
pattern_l25_a2.0_fh0.5_sh2.0,1,25,positive,True,2.0,0.5,2.0,0.2804351681470871,0.35027504795230924,16.0955890083313,0.5530878605727264,0.5295565176905299,0.9996764165315337,0.6941069315982634,0.29279650664507234
pattern_l25_a2.4_fh0.5_sh3.0,1,25,positive,True,2.4,0.5,3.0,0.310999623015523,0.2835802796855569,803.2150659072399,0.6621045675609496,0.4177579500869824,0.9809627113157304,0.6869417429878876,0.27133374336718385
pattern_l25-31-16_a2.4_fh0.5_sh2.0,3,"25,31,16",positive,True,2.4,0.5,2.0,0.35005149060860274,0.20133212298154832,924.0962006175519,0.8013940142421733,0.27988767410426896,0.9780887716057984,0.6864568199840803,0.21938561143860982
pattern_l25_a2.4_fh1.0_sh1.0,1,25,positive,True,2.4,1.0,1.0,0.368654262740165,0.14233548726580922,5.6316277551651,0.8677460223955904,0.1809932699724845,0.9999251964080689,0.6828881629253812,0.15704444173184023
pattern_l25-31-16_a2.0_fh0.5_sh3.0,3,"25,31,16",positive,True,2.0,0.5,3.0,0.32705868704011665,0.23596445530652999,479.3882902610302,0.7193837267937947,0.33794088048497267,0.9886616680793242,0.6819954251193638,0.2403527175763909
pattern_l25_a1.2_fh1.0_sh2.0,1,25,positive,True,1.2,1.0,2.0,0.32117229647934437,0.24073066947005187,8.75433539390564,0.6983882626919743,0.34593035147679435,0.999850954273372,0.6813898561473802,0.2415576886721575
pattern_l25_a2.4_fh0.5_sh1.0,1,25,positive,True,2.4,0.5,1.0,0.32117229647934437,0.24073066947005187,8.75433539390564,0.6983882626919743,0.34593035147679435,0.999850954273372,0.6813898561473802,0.2415576886721575
pattern_l25-31-16_a1.2_fh0.5_sh1.5,3,"25,31,16",positive,True,1.2,0.5,1.5,0.29581320529803634,0.28936804640514313,10.284312109947205,0.6079379463130201,0.4274598209486552,0.9998145791942494,0.6784041154853083,0.25982086055101733
pattern_l25-31-16_a2.0_fh1.0_sh1.0,3,"25,31,16",positive,True,2.0,1.0,1.0,0.38233678236603735,0.10256142676633317,3.511243778467178,0.916548568992119,0.11432112900584512,0.9999756083745477,0.6769484354575038,0.10477831142020357
pattern_l25_a1.2_fh0.5_sh2.5,1,25,positive,True,1.2,0.5,2.5,0.2665785330045037,0.3378327772114426,10.52156355381012,0.5036642821158521,0.5086998885618272,0.9998089385593614,0.6707243697456802,0.2561650115757978
pattern_l25-31-16_a1.6_fh0.5_sh3.0,3,"25,31,16",positive,True,1.6,0.5,3.0,0.31853930581361056,0.23378479398787022,474.1868911123276,0.6889969624661209,0.33428717541005004,0.9887853309452997,0.6706898229404902,0.22773985392781346
pattern_l25-31-16-24-26_a2.0_fh0.5_sh2.5,5,"25,31,16,24,26",positive,True,2.0,0.5,2.5,0.24374253407120705,0.38440801940858366,nan,0.42221328241012845,0.5867726594664742,1.0,0.6696619806255342,0.24774321058186058
pattern_l25-31-16_a1.2_fh1.0_sh1.0,3,"25,31,16",positive,True,1.2,1.0,1.0,0.3502641810849309,0.15443977886722224,7.697250020503998,0.8021526345230473,0.20128335415841642,0.9998760863970791,0.6677706916928475,0.1614399657368492
pattern_l25-31-16-24-26_a2.0_fh1.0_sh2.5,5,"25,31,16,24,26",positive,True,2.0,1.0,2.5,0.3141793051362038,0.5739826270192862,24214.86866016865,0.6734457963038817,0.9045512519358702,0.4243524420544351,0.6674498300980624,0.25850118077930184
pattern_l25-31-16-24-26_a1.6_fh0.5_sh2.0,5,"25,31,16,24,26",positive,True,1.6,0.5,2.0,0.273958679549396,0.3153608259558678,nan,0.5299876461960521,0.4710307875675531,1.0,0.6670061445878684,0.24964049838880012
pattern_l25-31-16_a2.4_fh0.5_sh2.5,3,"25,31,16",positive,True,2.4,0.5,2.5,0.33043380033224823,0.20371265541762112,638.0130443525314,0.7314220156624879,0.2838780937938954,0.9848903767123607,0.6667301620562481,0.2044974056545996
pattern_l25-31-16-24-26_a1.2_fh0.5_sh2.0,5,"25,31,16,24,26",positive,True,1.2,0.5,2.0,0.32532739466056226,0.21377350013703109,1162.5925144040584,0.7132085865904032,0.3007428053408798,0.9724185400307391,0.6621233106540073,0.20857633892815133
pattern_l25_a2.0_fh0.5_sh2.5,1,25,positive,True,2.0,0.5,2.5,0.2834910137578845,0.3535541062057018,4850.438111635446,0.5639873916452594,0.5350531109818005,0.8847402936990834,0.6612602654420477,0.2669820696754414
pattern_l25-31-16_a2.0_fh1.0_sh2.0,3,"25,31,16",positive,True,2.0,1.0,2.0,0.29146365098655225,0.28949386060237886,1662.4594262552262,0.5924240400468852,0.42767071975527354,0.96053424252565,0.6602096674426029,0.24336327595971
