exp_name,layer_count,layers,steer_direction,first_half_matches_direction,steer_alpha,first_half_scale,second_half_scale,block_length,batch_size,first_half_positive,first_half_negative,first_half_perplexity,second_half_positive,second_half_negative,second_half_perplexity,full_text_positive,full_text_negative,full_text_perplexity
pattern_l25-31-16_a1.2_fh1.0_sh1.5,3,"25,31,16",positive,True,1.2,1.0,1.5,128,10,0.3971567265689373,0.0796887195680756,6.163323369026184,0.16955276212283935,0.31647252839175055,8.84311894416809,0.1751525468393811,0.17709171512920874,5.32230904340744
pattern_l25-31-16_a1.2_fh1.0_sh2.0,3,"25,31,16",positive,True,1.2,1.0,2.0,128,10,0.3847583796083927,0.08287185015040449,6.184599840641022,0.09373487938468315,0.3725112338049803,10.935939265489578,0.08335215345214238,0.21170137414708734,6.0167077291011815
pattern_l25-31-16_a1.2_fh1.0_sh2.5,3,"25,31,16",positive,True,1.2,1.0,2.5,128,10,0.40318153191357853,0.04650069775001611,5.995481405258179,0.11929581932956353,0.4356641721498454,49.11287531614303,0.14910832200315782,0.15854567853733897,5.808532335758209
pattern_l25-31-16_a1.2_fh1.0_sh3.0,3,"25,31,16",positive,True,1.2,1.0,3.0,128,10,0.3586265455186367,0.05690457295277156,6.042191286087036,0.11666917935479432,0.3421676971763372,1177.3898310244083,0.17995860021328552,0.1142703275801614,5.384958863258362
pattern_l25-31-16_a1.6_fh0.5_sh1.0,3,"25,31,16",positive,True,1.6,0.5,1.0,128,10,0.26443738376256076,0.10242889038694557,5.53129611492157,0.23679446264344733,0.20550217585405334,8.973911273479462,0.22482471248236835,0.09908749557973351,4.940874707698822
pattern_l25-31-16_a1.6_fh0.5_sh1.5,3,"25,31,16",positive,True,1.6,0.5,1.5,128,10,0.293302272791625,0.09570672808622475,5.526883327960968,0.09018461320694769,0.3826321601704694,12.622761952877045,0.10777284368261462,0.21807567791780458,6.246872797012329
pattern_l25-31-16_a1.6_fh0.5_sh2.0,3,"25,31,16",positive,True,1.6,0.5,2.0,128,10,0.31615077652037143,0.08350372916669585,5.654805201292038,0.1348488178034313,0.3764794817508664,62.70470029354095,0.17636547831934876,0.1184695492265746,6.073752263784408
pattern_l25-31-16_a1.6_fh0.5_sh2.5,3,"25,31,16",positive,True,1.6,0.5,2.5,128,10,0.3222256946773268,0.06908048323355614,5.498601619005203,0.11846966728568077,0.33574404299259186,194.9605505168438,0.1757456292875577,0.11375205932185053,5.656953477859497
pattern_l25-31-16_a1.6_fh0.5_sh3.0,3,"25,31,16",positive,True,1.6,0.5,3.0,128,10,0.31853930581361056,0.08448160266154446,5.7224434781074525,0.11730663653463125,0.23378479398787022,474.1868911123276,0.13553411080967634,0.1295161721203476,6.011585166454315
pattern_l25-31-16_a1.6_fh1.0_sh1.0,3,"25,31,16",positive,True,1.6,1.0,1.0,128,10,0.40573363196104767,0.06514792801928707,5.5980635619163515,0.42421568896250395,0.16124408113071695,5.98844103217125,0.2680855987801624,0.0947281473572366,4.0980074751377105
pattern_l25-31-16_a1.6_fh1.0_sh1.5,3,"25,31,16",positive,True,1.6,1.0,1.5,128,10,0.3767346096783876,0.07062707428645808,5.425822439193726,0.31032013337739045,0.3177325186709641,6.896096222400665,0.21014250202075346,0.15407060917466878,4.454633599519729
pattern_l25-31-16_a1.6_fh1.0_sh2.0,3,"25,31,16",positive,True,1.6,1.0,2.0,128,10,0.38058993466198443,0.04919444104772992,5.501738860607147,0.2094598169438541,0.35025259528076275,1401.824657882452,0.20296468486078084,0.09206698694848456,4.68594664812088
pattern_l25-31-16_a1.6_fh1.0_sh2.5,3,"25,31,16",positive,True,1.6,1.0,2.5,128,10,0.35462601328268645,0.043350043045938945,5.932691557407379,0.13988711128011347,0.2511279829358682,1750.7533576524258,0.1335282456257846,0.09201033655554056,4.46918154835701
pattern_l25-31-16_a1.6_fh1.0_sh3.0,3,"25,31,16",positive,True,1.6,1.0,3.0,128,10,0.2879195948317647,0.0490965752559714,5.937978621721268,0.10903930630534887,0.18794440355151892,678.9495674157142,0.11444352283258923,0.087454263928812,5.5157313370704655
pattern_l25-31-16_a2.0_fh0.5_sh1.0,3,"25,31,16",positive,True,2.0,0.5,1.0,128,10,0.3217196134237747,0.0810443770256461,5.7686349129676815,0.14221785060086403,0.33848049003630876,10.321949617862701,0.14682696237847268,0.18138519003754483,5.557758209705352
pattern_l25-31-16_a2.0_fh0.5_sh1.5,3,"25,31,16",positive,True,2.0,0.5,1.5,128,10,0.3402178869955242,0.08078917540842667,5.942553141117096,0.12697966275271028,0.4278277795156464,456.99821910738945,0.1432480680651497,0.15908440680243074,5.9125141906738286
pattern_l25-31-16_a2.0_fh0.5_sh2.0,3,"25,31,16",positive,True,2.0,0.5,2.0,128,10,0.3354605922452174,0.07191161606111564,6.159725515842438,0.13296433156356216,0.2952474150434136,152.96040947318076,0.17223782715620473,0.12412298851646483,5.304794411659241
pattern_l25-31-16_a2.0_fh0.5_sh2.5,3,"25,31,16",positive,True,2.0,0.5,2.5,128,10,0.34596714515239,0.06723173017293448,16.482266592979432,0.13465394720435142,0.2211364009976387,524.6228933525085,0.1193493490741821,0.11880420513218269,6.829746062755585
pattern_l25-31-16_a2.0_fh0.5_sh3.0,3,"25,31,16",positive,True,2.0,0.5,3.0,128,10,0.32705868704011665,0.06379730915999972,99.38473918199539,0.11371993526816368,0.23596445530652999,479.3882902610302,0.22995626542950048,0.12290277237072587,14.290402429103851
pattern_l25-31-16_a2.0_fh1.0_sh1.0,3,"25,31,16",positive,True,2.0,1.0,1.0,128,10,0.38233678236603735,0.02046872570179403,3.7920990133285524,0.632384759419947,0.10256142676633317,3.511243778467178,0.2992358319074265,0.054921658395323904,2.4442611384391784
pattern_l25-31-16_a2.0_fh1.0_sh1.5,3,"25,31,16",positive,True,2.0,1.0,1.5,128,10,0.36066377237439157,0.015886909787077456,3.662186317443848,0.27187573837116363,0.3857619553734548,109.54764289140701,0.1750522846262902,0.07568623844766989,3.340496845245361
pattern_l25-31-16_a2.0_fh1.0_sh2.0,3,"25,31,16",positive,True,2.0,1.0,2.0,128,10,0.29146365098655225,0.032408621485810724,4.398653991222382,0.12411979919299483,0.28949386060237886,1662.4594262552262,0.09068095684051514,0.06486688445322215,3.722807221412659
pattern_l25-31-16_a2.0_fh1.0_sh2.5,3,"25,31,16",positive,True,2.0,1.0,2.5,128,10,0.2293244740832597,0.036217905921512285,4.72567641377449,0.11825660416856408,0.18949377480894328,604.4502590441704,0.13101009948644787,0.04955437409691513,6.160277941226959
